Account,Winnings (ETH),Amount Wagered,ROI,Trades
0x5688cc...,-0.07,0.18,-42.90%,3
0xdf36d8...,-0.07,0.11,-65.40%,43
0xf6c393...,-0.07,0.12,-58.50%,2
0xadec67...,-0.07,0.07,-100%,5
0x204909...,-0.07,0.07,-100%,1
0x1dcf9a...,-0.07,0.07,-100%,2
0xa59c96...,-0.07,0.2,-33.80%,5
0xfca6d5...,-0.07,0.07,-100%,2
0x3ef2c4...,-0.07,0.4,-16.70%,1
0xfccb96...,-0.07,0.07,-100%,1
0xa4c62b...,-0.08,0.1,-84.20%,3
0xdaf7aa...,-0.08,0.08,-100%,1
0x803356...,-0.08,0.76,-10.50%,8
0x81bef8...,-0.08,0.08,-100%,1
0x6dd1d7...,-0.08,0.79,-10%,9
0xe836f5...,-0.08,0.08,-100%,1
0x01e6d2...,-0.08,0.17,-47.20%,4
0xc16c2d...,-0.08,0.08,-100%,2
0x585755...,-0.08,0.18,-44.40%,2
0x1b0ac7...,-0.08,0.08,-100%,4
0xfb87ec...,-0.08,0.08,-100%,1
0xf38f63...,-0.08,0.08,-100%,2
0x3782f5...,-0.08,1.11,-6.80%,3
0xe3b1c7...,-0.08,0.12,-67.60%,4
0x358658...,-0.08,0.08,-100%,1
0x98b90e...,-0.08,0.08,-100%,1
0xcf12d2...,-0.08,0.08,-100%,1
0x933921...,-0.08,0.08,-100%,1
0x71b41d...,-0.08,0.08,-100%,1
0x2e091b...,-0.08,0.17,-46.60%,3
0x389a1a...,-0.08,0.08,-98.60%,2
0xc11bda...,-0.09,0.09,-100%,1
0x7fe583...,-0.09,0.09,-100%,1
0x161b06...,-0.09,0.29,-31%,2
0x731df5...,-0.09,0.49,-19%,3
0x4a18c9...,-0.09,0.29,-29.80%,4
0x8684d8...,-0.09,0.3,-30.30%,4
0xe7cc69...,-0.09,0.09,-100%,1
0x89d678...,-0.09,0.72,-12.40%,9
0x5cb479...,-0.09,1.59,-5.60%,1
0x84d62b...,-0.09,0.09,-100%,1
0x7e00f0...,-0.09,0.16,-57.10%,2
0x11b178...,-0.09,0.81,-11.10%,3
0x1d8b26...,-0.09,0.17,-53.80%,9
0x47c3c3...,-0.09,0.46,-19.10%,13
0x578208...,-0.09,0.09,-100%,10
0x6be31c...,-0.09,0.09,-100%,3
0x69d75f...,-0.09,1.61,-5.30%,1
0xeb9de2...,-0.1,0.9,-11.50%,5
0xaec00f...,-0.1,0.1,-100%,1
0x4fd78f...,-0.1,0.1,-100%,1
0xdb0374...,-0.1,0.1,-100%,1
0xde982b...,-0.1,0.1,-100%,1
0xbc8a8e...,-0.1,0.1,-100%,1
0xdf2c7f...,-0.1,0.1,-100%,1
0x1cf41a...,-0.1,0.1,-100%,1
0x3edc08...,-0.1,0.88,-11.90%,4
0x86f34d...,-0.1,1.37,-7.40%,1
0x240fd3...,-0.1,0.89,-11.50%,4
0xc19be7...,-0.1,0.1,-100%,1
0x8307ee...,-0.1,0.1,-100%,1
0x16d7df...,-0.1,0.1,-100%,3
0x593e6b...,-0.1,0.46,-21%,3
0xc497d3...,-0.1,0.39,-25.80%,6
0xc64e10...,-0.1,0.3,-33.40%,8
0x8fdc07...,-0.1,0.1,-100%,1
0x5c0c7a...,-0.1,0.1,-100%,2
0xb34bbb...,-0.1,0.1,-100%,1
0x32fe55...,-0.1,1.1,-8.80%,2
0x80911f...,-0.1,0.1,-100%,1
0x19f45e...,-0.1,0.11,-100%,1
0x9494ae...,-0.1,0.1,-100%,1
0x1abb78...,-0.1,0.1,-100%,2
0x8ca14b...,-0.11,0.11,-100%,1
0x2cfc95...,-0.11,0.79,-14.40%,5
0x749433...,-0.11,0.33,-32%,4
0xc05fbc...,-0.11,0.16,-71.40%,6
0x3f3a22...,-0.11,0.11,-100%,2
0x22f14c...,-0.11,0.81,-13.70%,3
0x686e03...,-0.11,0.11,-100%,1
0x688744...,-0.11,0.11,-100%,2
0xf78251...,-0.11,0.36,-30.60%,1
0xae2d30...,-0.11,0.28,-39.40%,1
0x15edc4...,-0.11,0.11,-100%,1
0x7a0ec3...,-0.11,0.25,-44.30%,3
0xdee47e...,-0.11,0.41,-26.70%,2
0xf95b4e...,-0.11,0.57,-19.10%,4
0x1588bd...,-0.11,0.11,-100%,3
0x6b68b4...,-0.11,0.11,-100%,2
0xf665f2...,-0.11,0.21,-51.80%,3
0xeb38f4...,-0.12,1.05,-11.10%,7
0x32c704...,-0.12,0.17,-71.20%,4
0xc56d50...,-0.12,0.13,-92.10%,2
0xa42897...,-0.12,1.92,-6.40%,7
0x0d0572...,-0.12,0.17,-70.60%,3
0xd6d9d4...,-0.12,0.24,-48.50%,1
0x2fd632...,-0.12,0.13,-100%,1
0x2d29d7...,-0.12,0.12,-100%,1
0x3305fd...,-0.12,0.12,-100%,1
0x5424a8...,-0.12,0.14,-86.10%,8
0x3f8667...,-0.12,0.45,-27.30%,2
0x2f2012...,-0.12,0.52,-23.60%,4
0x593b1a...,-0.12,0.26,-47.90%,1
0x27acc5...,-0.12,0.12,-100%,2
0x4c7d01...,-0.12,0.12,-100%,1
0xaa3597...,-0.13,0.13,-100%,1
0x137eec...,-0.13,0.29,-43.30%,1
0x29d8d4...,-0.13,1.43,-8.80%,8
0xfd6c53...,-0.13,0.13,-100%,3
0x5dd1b4...,-0.13,0.17,-79.20%,3
0x14695e...,-0.13,0.27,-49.10%,4
0x4a466d...,-0.13,0.13,-100%,1
0x484a35...,-0.13,0.16,-83.50%,2
0x14dc99...,-0.13,0.14,-100%,3
0xc13a2c...,-0.13,2.52,-5.10%,2
0x1d419c...,-0.13,0.33,-40%,4
0x69ae67...,-0.13,0.38,-34.20%,2
0x055da5...,-0.13,0.14,-93.10%,5
0x21886c...,-0.14,0.14,-100%,1
0x4963d4...,-0.14,0.14,-100%,2
0x412440...,-0.14,0.24,-58.70%,13
0xb6b7b4...,-0.14,0.14,-100%,1
0x177c71...,-0.14,0.14,-98.90%,5
0x4d5a19...,-0.14,0.37,-39%,1
0xd8e806...,-0.14,5.09,-2.70%,13
0x44bb0b...,-0.14,0.14,-100%,1
0x1e5ac6...,-0.14,0.29,-48.30%,2
0x8f97d2...,-0.14,0.19,-73.30%,4
0xf8a886...,-0.14,0.4,-36.70%,2
0x789a70...,-0.14,0.14,-100%,2
0x0ffec9...,-0.15,2.15,-6.90%,2
0xb43856...,-0.15,0.15,-100%,2
0x9a0235...,-0.15,0.15,-100%,2
0xcb51ce...,-0.15,0.16,-100%,4
0x00df8d...,-0.15,0.28,-52.40%,1
0xc892a4...,-0.15,1.4,-10.70%,2
0x8a591e...,-0.15,1,-15.20%,13
0x9f2584...,-0.15,1.02,-14.80%,2
0xe5fd65...,-0.15,0.65,-23.10%,1
0x1dd230...,-0.15,0.15,-100%,1
0xa1e7c1...,-0.15,0.75,-19.50%,1
0x46449f...,-0.15,0.15,-100%,2
0x527a00...,-0.15,0.15,-100%,30
0x5c5530...,-0.15,0.15,-100%,1
0xfe04e0...,-0.15,0.15,-100%,2
0xcd9028...,-0.15,1.88,-7.80%,12
0xf1d181...,-0.15,0.3,-49.80%,8
0x14563f...,-0.15,0.15,-100%,2
0x5d6d2d...,-0.15,0.15,-100%,1
0xae49bb...,-0.16,4.09,-3.90%,15
0x200d00...,-0.16,0.16,-100%,3
0x6b80ca...,-0.16,0.16,-100%,1
0x5c8cf8...,-0.16,1.57,-10.40%,7
0xe61bdc...,-0.16,0.16,-100%,1
0xb0fb35...,-0.16,0.16,-100%,1
0xe4152a...,-0.16,0.16,-100%,2
0x6aa5a2...,-0.16,1.16,-13.80%,2
0xbcbc82...,-0.16,1.24,-13%,8
0xaead03...,-0.16,0.94,-17.40%,15
0x4c9f4c...,-0.16,0.16,-100%,1
0xc91e62...,-0.16,0.36,-44.40%,6
0xc8f6b1...,-0.16,0.17,-91.60%,2
0x5dcb31...,-0.16,0.16,-100%,2
0x09bbb1...,-0.16,0.16,-100%,3
0x522273...,-0.17,2.31,-7.20%,16
0xee2dad...,-0.17,0.49,-34.20%,1
0x9e1bb5...,-0.17,0.17,-100%,5
0x888d6c...,-0.17,0.17,-100%,1
0xe23c5d...,-0.17,0.22,-77.30%,2
0x42032c...,-0.17,0.37,-45.50%,2
0xb1b7d4...,-0.17,0.17,-100%,1
0x190824...,-0.17,0.32,-52.40%,3
0xb79c11...,-0.18,0.85,-21.60%,1
0x93690d...,-0.18,0.18,-100%,1
0x66b9bd...,-0.18,1.88,-9.40%,2
0x108858...,-0.18,0.18,-100%,1
0xa41d21...,-0.18,0.21,-85.50%,4
0xaf20e5...,-0.18,0.28,-64.70%,5
0x72fa33...,-0.18,0.43,-42.20%,9
0xf4c2bd...,-0.18,0.19,-98.40%,3
0x71ae30...,-0.18,0.93,-19.10%,2
0xb3fbe2...,-0.18,0.22,-84.20%,3
0xce807c...,-0.18,0.18,-100%,1
0x6146a3...,-0.19,5.19,-3.70%,3
0x96aaec...,-0.19,0.89,-21.30%,4
0xdbaa5f...,-0.19,3.71,-5.30%,17
0xe352fd...,-0.19,1.47,-12.90%,2
0xacc606...,-0.19,0.19,-100%,1
0x830432...,-0.19,0.39,-48.70%,2
0x5844fe...,-0.19,0.98,-19.30%,5
0xae7ae3...,-0.19,0.19,-100%,1
0x69005e...,-0.19,0.19,-100%,1
0x19424f...,-0.2,0.2,-100%,2
0x4de137...,-0.2,0.2,-100%,1
0x0c039a...,-0.2,0.35,-57%,3
0xe8f13a...,-0.2,0.22,-90%,3
0x22204f...,-0.2,0.2,-99.50%,6
0xb43587...,-0.2,0.2,-100%,1
0x2fdfb9...,-0.2,4.4,-4.50%,21
0x41d67d...,-0.2,0.2,-100%,1
0xf3ba8b...,-0.2,1.89,-10.50%,2
0xa40eef...,-0.2,0.95,-21%,5
0x822f01...,-0.2,0.2,-100%,1
0x6c0f58...,-0.2,0.27,-74.10%,5
0x79c1f4...,-0.21,0.21,-100%,2
0x9da6f4...,-0.21,0.54,-38.30%,1
0x9c2ce2...,-0.21,0.23,-93.40%,2
0xf27cb7...,-0.21,1.54,-13.40%,2
0xb9b971...,-0.21,0.31,-67.20%,3
0x594f5b...,-0.22,0.22,-100%,1
0x759dfa...,-0.22,0.23,-100%,1
0xd5a84b...,-0.22,0.22,-100%,1
0xc81931...,-0.22,0.23,-100%,2
0x8beed7...,-0.22,3.08,-7%,37
0xc40bd0...,-0.22,0.23,-100%,1
0x8288be...,-0.22,1.12,-19.60%,5
0xad1c5a...,-0.22,0.22,-100%,2
0x840f9a...,-0.22,0.27,-81.70%,2
0x97181b...,-0.22,0.23,-100%,2
0x39443a...,-0.22,0.55,-39.40%,1
0x12cddf...,-0.22,0.23,-100%,1
0x5eaad6...,-0.22,0.37,-58.30%,3
0x89f211...,-0.22,0.22,-100%,1
0x4b3d1b...,-0.22,0.22,-100%,4
0x173216...,-0.22,0.22,-100%,2
0x483967...,-0.23,0.24,-100%,2
0x77c58c...,-0.23,0.23,-100%,2
0x17c6f0...,-0.23,0.24,-100%,1
0xba475b...,-0.23,0.23,-100%,3
0xe6dc72...,-0.23,0.48,-48%,2
0x1bccf5...,-0.23,0.23,-100%,2
0xe700e7...,-0.23,0.74,-32%,3
0x593df2...,-0.23,0.23,-100%,2
0x87bfc1...,-0.24,0.57,-42.30%,1
0x003d1e...,-0.24,0.38,-63%,10
0x9b28c5...,-0.24,0.49,-49.80%,4
0xfe5a65...,-0.24,0.24,-100%,4
0xf87c0e...,-0.24,0.25,-100%,4
0xc218fe...,-0.25,0.75,-33.30%,1
0x11a137...,-0.25,0.25,-100%,1
0x248e8f...,-0.25,0.25,-100%,1
0x1e743a...,-0.25,0.25,-100%,1
0x95b22a...,-0.25,0.58,-42.40%,1
0xbb72e5...,-0.25,0.75,-33.30%,1
0xa35f29...,-0.25,0.58,-42.50%,1
0x7e1feb...,-0.25,4.59,-5.50%,5
0xb806c4...,-0.25,0.25,-100%,1
0x0ae24d...,-0.25,0.26,-100%,2
0xac904e...,-0.25,1.42,-17.50%,7
0x7da42f...,-0.25,0.58,-42.40%,1
0xd4a45d...,-0.26,0.26,-100%,2
0x183d3c...,-0.26,0.88,-30%,4
0x1a1fd1...,-0.26,0.27,-100%,1
0xb067f1...,-0.26,0.73,-35.70%,4
0x22b657...,-0.26,0.54,-47.50%,1
0xde2d12...,-0.26,0.71,-36.30%,4
0xfba822...,-0.26,0.26,-100%,1
0xf327cf...,-0.26,2.35,-11.20%,2
0x220c30...,-0.26,1.3,-20.30%,2
0xd87cfd...,-0.26,1.21,-21.10%,18
0x4dea7a...,-0.27,1.99,-13.60%,9
0x916582...,-0.27,12.82,-2.10%,11
0x483388...,-0.27,0.28,-96.40%,3
0x26e5c2...,-0.27,0.27,-100%,3
0x3bdb9a...,-0.27,0.36,-76.50%,1
0x21dddb...,-0.28,0.28,-100%,1
0x3eb24c...,-0.28,0.28,-100%,3
0x45a661...,-0.28,0.28,-100%,1
0xfdeb77...,-0.28,0.56,-50.20%,2
0xebc2ec...,-0.28,0.28,-100%,1
0x5cdb00...,-0.28,0.38,-73.30%,3
0x172389...,-0.29,0.29,-100%,1
0x0e972b...,-0.29,0.29,-100%,1
0x940582...,-0.29,0.82,-35.40%,7
0x9b1d95...,-0.29,0.29,-100%,1
0x2e4012...,-0.29,0.29,-100%,1
0xa74249...,-0.3,0.3,-100%,1
0xc35447...,-0.3,0.63,-47.50%,1
0x44e9d0...,-0.3,1.55,-19.10%,5
0x885619...,-0.3,0.3,-100%,1
0x186012...,-0.31,1.94,-16.20%,8
0x901971...,-0.31,0.47,-65.10%,3
0x149a59...,-0.31,0.31,-100%,2
0xe765cf...,-0.31,0.32,-100%,2
0xfc730d...,-0.31,0.31,-100%,1
0x54e13c...,-0.31,0.31,-100%,2
0x7ec143...,-0.31,0.31,-100%,3
0x78a50f...,-0.32,0.32,-100%,1
0x935a9f...,-0.32,1.32,-24.50%,4
0xc45106...,-0.32,0.82,-39%,1
0x88b741...,-0.32,0.82,-39%,1
0xc6f621...,-0.33,0.33,-100%,3
0xdec0de...,-0.34,4.34,-7.80%,4
0x923d86...,-0.34,0.34,-100%,2
0xebe2ba...,-0.34,0.97,-34.80%,6
0x1e79fe...,-0.34,0.49,-70.60%,4
0x66115b...,-0.34,0.34,-100%,4
0x4da2e8...,-0.35,0.35,-100%,2
0x044d88...,-0.35,0.46,-78%,5
0x393e71...,-0.35,9.35,-3.70%,6
0x5abe03...,-0.35,0.35,-100%,2
0x59d6b8...,-0.35,0.8,-43.60%,3
0xe73050...,-0.36,4.45,-8.10%,3
0x80c8f7...,-0.36,0.47,-76.50%,13
0x57d1e2...,-0.36,1.06,-34.30%,5
0xf4ae61...,-0.36,0.36,-100%,1
0x78e8c4...,-0.36,0.72,-49.70%,2
0x8c925a...,-0.37,0.84,-43.70%,5
0x81035f...,-0.37,0.97,-38.30%,1
0x729013...,-0.37,0.78,-47.30%,1
0x23e745...,-0.37,2.44,-15.20%,9
0x36230d...,-0.37,0.57,-64.70%,3
0xfacafb...,-0.37,0.37,-100%,1
0x221c00...,-0.38,1.53,-25.20%,10
0xc9c01b...,-0.38,3.67,-10.30%,10
0x816d45...,-0.38,4.67,-8.10%,5
0x20964d...,-0.38,0.38,-100%,6
0x08661d...,-0.38,1.38,-27.50%,3
0xf09c86...,-0.39,0.39,-100%,1
0x35e6e3...,-0.39,1.39,-28.10%,2
0x08c2da...,-0.39,0.39,-100%,1
0x6a250e...,-0.39,0.4,-97.50%,3
0x29fb67...,-0.39,0.49,-79.80%,10
0xf43d1b...,-0.39,1.79,-21.90%,4
0xbf0ac4...,-0.4,0.57,-70.80%,1
0x4d152f...,-0.4,0.4,-100%,13
0xa536cd...,-0.4,0.4,-100%,1
0x42c8a4...,-0.4,0.4,-100%,1
0x6de1c2...,-0.4,0.4,-100%,1
0x21639a...,-0.4,0.4,-100%,3
0x47e902...,-0.4,0.4,-100%,3
0x2523ce...,-0.4,1.5,-26.50%,2
0xcecbe6...,-0.4,0.4,-100%,2
0xa34dc7...,-0.41,1.41,-29%,5
0x5dbccb...,-0.41,1.16,-35.60%,7
0x9e76cd...,-0.41,0.41,-100%,1
0x48dbb9...,-0.41,4.34,-9.40%,17
0x51f0d5...,-0.42,0.42,-100%,4
0x437adc...,-0.42,5,-8.40%,4
0x220f46...,-0.42,0.67,-62.50%,4
0xeeeb08...,-0.42,1.09,-38.80%,2
0x918d77...,-0.42,0.57,-73.90%,8
0x7f86fc...,-0.42,0.42,-100%,1
0x7ffc6b...,-0.43,0.43,-100%,7
0xc5cb38...,-0.44,1.94,-22.70%,3
0xd0c2b3...,-0.44,5.69,-7.80%,8
0xddd7a1...,-0.44,0.44,-100%,1
0xa5960a...,-0.44,1.44,-30.50%,2
0xf3ae3b...,-0.44,2.34,-18.70%,2
0x003b17...,-0.44,0.44,-100%,2
0x4f904e...,-0.44,0.44,-100%,2
0x9a65d3...,-0.44,0.44,-100%,1
0x4feb4a...,-0.44,0.67,-65.70%,17
0xe1f6c9...,-0.44,0.74,-59.50%,4
0xc4b258...,-0.45,7.88,-5.70%,21
0x63d6f8...,-0.45,5.45,-8.30%,2
0xc0c586...,-0.45,0.46,-100%,1
0x11e52c...,-0.45,0.45,-100%,1
0x66ba68...,-0.45,24.2,-1.90%,67
0x73ca49...,-0.46,0.66,-69.70%,4
0xee532b...,-0.46,2.46,-18.70%,3
0x933fb9...,-0.47,1.22,-38.50%,4
0x7a40d3...,-0.47,1,-47.40%,3
0x209446...,-0.47,0.47,-100%,1
0xf012b1...,-0.48,1.15,-42.10%,2
0xf323cd...,-0.48,0.48,-100%,2
0xf2a883...,-0.49,2.79,-17.40%,3
0xb7a7e2...,-0.49,0.75,-66.40%,2
0x132189...,-0.5,0.55,-90.90%,5
0x90cd76...,-0.5,0.5,-100%,1
0x4b3efd...,-0.5,0.5,-100%,1
0x36ef63...,-0.5,0.5,-100%,1
0xf37386...,-0.5,1.7,-29.20%,4
0x305c2f...,-0.5,1.01,-49.30%,6
0xa5aacd...,-0.5,1.29,-38.60%,2
0x01a291...,-0.5,0.5,-100%,3
0x180df1...,-0.5,0.5,-100%,1
0x9ffa1c...,-0.5,0.5,-100%,1
0x65b6e3...,-0.5,0.5,-100%,3
0xff6841...,-0.51,1.28,-40.10%,9
0xf3886c...,-0.51,2.01,-25.40%,2
0xafef03...,-0.52,13.47,-3.80%,66
0x5d47e8...,-0.52,0.53,-98.10%,9
0xc05067...,-0.52,1.22,-42.70%,20
0x9a78a4...,-0.52,2.02,-25.70%,2
0x84ecb3...,-0.55,0.55,-100%,2
0xc408b8...,-0.56,4.59,-12.20%,16
0x1038af...,-0.56,0.56,-100%,4
0x689646...,-0.57,0.57,-100%,6
0xf92d38...,-0.58,0.59,-100%,1
0xbfc896...,-0.59,1.49,-39.80%,27
0x7adf26...,-0.59,0.59,-100%,2
0x0bccca...,-0.6,0.85,-70.60%,1
0x83e81d...,-0.6,0.6,-100%,1
0x446183...,-0.61,2.51,-24.40%,5
0xc74a73...,-0.61,0.86,-71%,10
0xb5a628...,-0.64,1.76,-36.40%,6
0x3fd1dd...,-0.66,10.16,-6.50%,3
0x5a72c9...,-0.66,2.91,-22.60%,4
0xf66f51...,-0.66,0.66,-100%,2
0x28f6f5...,-0.67,2.17,-31%,4
0xf22f00...,-0.67,0.67,-100%,8
0x657234...,-0.68,4.13,-16.60%,60
0xee990b...,-0.68,0.68,-100%,1
0xca9c02...,-0.69,1.14,-60.40%,3
0x5a6505...,-0.69,7.69,-9%,16
0x48a0fd...,-0.7,0.7,-100%,1
0x1602f9...,-0.71,2.06,-34.30%,8
0xaaf5cc...,-0.72,0.72,-100%,1
0xfc18dc...,-0.72,1.31,-55.40%,4
0xfac788...,-0.74,1.25,-59.80%,2
0xbe60b5...,-0.74,7.24,-10.20%,16
0x081d3d...,-0.74,0.74,-100%,1
0x314f5c...,-0.75,0.75,-100%,1
0xb7a8b3...,-0.75,0.95,-78.90%,6
0x4abc62...,-0.75,1.25,-60%,3
0xa3dbec...,-0.75,1.55,-48.30%,1
0xef7f86...,-0.75,1.56,-48.60%,3
0xf7432f...,-0.79,10.98,-7.20%,22
0xff16d6...,-0.8,2.3,-34.70%,2
0x242942...,-0.8,0.8,-100%,4
0x6eb821...,-0.8,0.8,-100%,2
0x929666...,-0.81,1.46,-55.50%,5
0xcdf285...,-0.81,0.81,-100%,1
0x91e506...,-0.81,1.52,-53.80%,7
0x99b665...,-0.81,13.44,-6%,25
0xe5bc15...,-0.82,2.12,-38.80%,4
0x68d36d...,-0.82,1.22,-67.30%,3
0x90f9f2...,-0.83,0.83,-100%,11
0x75afae...,-0.84,0.84,-100%,1
0x622439...,-0.86,0.86,-100%,3
0x53a3c3...,-0.88,1.67,-52.70%,3
0x0fa694...,-0.89,1.9,-46.70%,2
0xa8bbd7...,-0.9,0.9,-100%,4
0xdb856e...,-0.9,0.9,-100%,1
0xfb5a87...,-0.91,0.91,-100%,1
0x363adb...,-0.92,2.42,-38%,6
0x52e0b1...,-0.92,0.92,-100%,1
0x41d3de...,-0.93,18.37,-5.10%,26
0x58dee5...,-0.93,28.4,-3.30%,10
0xb43f7a...,-0.95,0.95,-100%,1
0x3cc729...,-0.96,11.68,-8.20%,5
0x565c4b...,-0.96,3.66,-26.20%,16
0x42aa19...,-0.96,0.96,-100%,2
0x1f9861...,-0.97,18.48,-5.30%,3
0x40307c...,-0.97,0.97,-100%,4
0xcaddd6...,-0.97,3.98,-24.40%,18
0x8fe436...,-0.98,5.15,-18.90%,10
0xe2eb4e...,-0.98,2.32,-42.40%,2
0xd894c0...,-0.98,6.34,-15.40%,9
0xd97a45...,-0.99,0.99,-100%,1
0x9ea170...,-0.99,3.84,-25.80%,31
0x12690c...,-1,1,-100%,1
0x9ee266...,-1,1,-100%,1
0xa114d2...,-1,1,-100%,1
0x6beb7e...,-1,1,-100%,1
0x7fd7bb...,-1,1,-100%,2
0x328926...,-1,1,-100%,1
0x6734f6...,-1,1,-100%,1
0x9de915...,-1.01,1.01,-100%,4
0x7f8427...,-1.03,3.03,-34%,8
0x9e14d2...,-1.03,2.15,-47.90%,5
0x42f847...,-1.04,2.04,-50.90%,4
0x50af5f...,-1.04,1.05,-99%,5
0x41a24b...,-1.05,1.05,-100%,1
0xf62b6d...,-1.05,3.45,-30.40%,10
0xa7bde1...,-1.07,6.4,-16.70%,1
0x426806...,-1.07,3.82,-28.10%,5
0xe80d95...,-1.08,2.75,-39.40%,3
0x138dd5...,-1.09,1.1,-100%,4
0x352106...,-1.09,1.49,-73.20%,8
0xe994ad...,-1.09,2.09,-52.20%,5
0x4c40b0...,-1.11,5.52,-20%,19
0x2958db...,-1.13,2.58,-43.80%,14
0x78b1ab...,-1.14,1.24,-92.40%,2
0x8dc656...,-1.15,2.02,-57%,21
0xfd26cc...,-1.17,13.55,-8.70%,29
0xb00e81...,-1.2,1.25,-96%,3
0x4f50d4...,-1.2,7.79,-15.40%,25
0x57d29c...,-1.2,1.2,-100%,2
0xced0e6...,-1.23,6.86,-17.90%,7
0xb971b7...,-1.23,1.23,-100%,2
0x3d8c8c...,-1.27,8.68,-14.70%,3
0x90f0e5...,-1.27,1.27,-100%,1
0x00399d...,-1.28,14.48,-8.80%,8
0x103c83...,-1.28,1.28,-100%,2
0x1d428e...,-1.29,23.64,-5.40%,12
0x79e66b...,-1.29,4.77,-27.10%,7
0xaff57f...,-1.29,2.39,-54.10%,4
0x62819a...,-1.3,1.3,-100%,2
0x7761a9...,-1.3,19.3,-6.70%,1
0x0e401c...,-1.3,21.3,-6.10%,2
0xbee576...,-1.3,1.3,-100%,2
0x3a1aea...,-1.32,1.32,-100%,1
0x36e7ef...,-1.35,11.15,-12.10%,3
0xd84bc4...,-1.4,2.5,-56%,10
0x390f59...,-1.42,1.42,-100%,2
0x01999c...,-1.42,13.02,-10.90%,9
0x5095cd...,-1.44,7.56,-19%,16
0x7a7578...,-1.46,33.46,-4.40%,4
0xaf71d0...,-1.48,2.18,-67.90%,6
0xe71979...,-1.48,34.03,-4.30%,19
0x3df39e...,-1.48,2.55,-58.10%,7
0xc6f6c8...,-1.49,13.49,-11.10%,11
0xc76091...,-1.49,8.61,-17.30%,13
0xf53d86...,-1.5,1.5,-100%,3
0xef68d7...,-1.5,3.9,-38.40%,11
0x311328...,-1.5,1.5,-100%,4
0x27b953...,-1.51,1.51,-100%,3
0x34172b...,-1.53,3.92,-39%,4
0x5a47dc...,-1.56,14.54,-10.70%,7
0x7fecc2...,-1.59,2.76,-57.70%,3
0xdcd8e4...,-1.6,26.3,-6.10%,7
0x503fa7...,-1.64,24.9,-6.60%,16
0xde7f47...,-1.64,2.1,-78%,4
0x002f9c...,-1.65,2.65,-62.30%,5
0x1983c0...,-1.66,10.22,-16.20%,13
0xd459cd...,-1.69,9.59,-17.60%,5
0x3ee505...,-1.7,23.59,-7.20%,6
0xbee147...,-1.7,3.7,-45.90%,5
0x434715...,-1.7,8.07,-21.10%,35
0x28b460...,-1.73,7.03,-24.60%,2
0xbe131d...,-1.73,3.23,-53.50%,8
0x6a7627...,-1.82,11.49,-15.90%,2
0x42996f...,-1.84,3.57,-51.40%,4
0x068f88...,-1.86,2.06,-90.30%,4
0x6c0d86...,-1.89,3.46,-54.60%,6
0x20ad98...,-1.95,1.96,-100%,2
0xb6a3f1...,-1.99,39.16,-5.10%,48
0xed7abd...,-1.99,1.99,-100%,1
0xb322bb...,-2,8.55,-23.30%,5
0xdf2065...,-2.01,2.01,-100%,5
0xdcd096...,-2.06,11.96,-17.20%,10
0x011ce6...,-2.08,9.05,-23%,5
0x716cd8...,-2.1,2.1,-100%,1
0x3795f8...,-2.13,2.13,-100%,2
0x873278...,-2.13,17.13,-12.40%,8
0x5db15d...,-2.16,2.16,-100%,1
0x34456a...,-2.17,37.87,-5.70%,21
0x871930...,-2.19,14.63,-15%,84
0x88a628...,-2.21,60.37,-3.70%,51
0x935c6a...,-2.22,12.31,-18.10%,25
0xe6f456...,-2.23,32.2,-6.90%,51
0x14a191...,-2.28,2.28,-100%,1
0x29b7d4...,-2.3,6.3,-36.50%,19
0x8b6da5...,-2.33,2.43,-95.90%,4
0xc454e2...,-2.35,7.35,-31.90%,9
0x03b4af...,-2.38,5.83,-40.80%,12
0x31a689...,-2.41,2.91,-82.80%,7
0x0eed6e...,-2.46,2.46,-100%,4
0x01bdb7...,-2.51,2.51,-100%,2
0x149227...,-2.52,2.52,-100%,5
0xc9eeb9...,-2.52,3.56,-70.80%,10
0x871b93...,-2.54,2.54,-100%,6
0x5facde...,-2.54,2.7,-93.90%,8
0xdebbd3...,-2.55,36.94,-6.90%,9
0x4aecd3...,-2.58,7.08,-36.40%,4
0x4825a0...,-2.59,299.03,-0.90%,34
0x8f6d2c...,-2.62,4.5,-58.30%,3
0x0d71d8...,-2.65,6.5,-40.80%,15
0x326312...,-2.75,18.35,-15%,11
0xd03f08...,-2.77,15.27,-18.10%,14
0x745202...,-2.84,2.84,-100%,1
0x26f38d...,-2.91,10.17,-28.60%,15
0xfe95ce...,-2.93,19.26,-15.20%,32
0xa50368...,-3.02,3.02,-100%,2
0xddd30a...,-3.05,47.59,-6.40%,12
0x3f43fb...,-3.07,6.77,-45.30%,3
0x438dd8...,-3.08,18.29,-16.90%,24
0x764f49...,-3.15,17.83,-17.70%,61
0xd762c7...,-3.23,8.08,-40%,16
0x2e3a5f...,-3.26,13.29,-24.50%,33
0x4d3cf4...,-3.27,4.22,-77.50%,9
0xd792e8...,-3.32,9.82,-33.80%,17
0x86ccf8...,-3.32,10.82,-30.70%,5
0x946851...,-3.33,10,-33.30%,1
0x193607...,-3.36,3.36,-100%,6
0x5ab35a...,-3.54,5.89,-60.10%,16
0x5bb5b6...,-3.6,51,-7.10%,23
0x766638...,-3.7,46.2,-8%,2
