Account,Winnings (ETH),Amount Wagered,ROI,Trades
0xff81fb...,0.28,0.66,43%,8
0x603ebd...,0.28,1.22,22.80%,2
0x023593...,0.28,14.47,1.90%,19
0x95e7cf...,0.27,3.51,7.60%,10
0x288ba6...,0.27,5.25,5.10%,8
0x0cdb60...,0.27,0.32,81.70%,10
0xd1fb8f...,0.27,0.33,81.80%,2
0x57e75c...,0.26,0.24,104.50%,2
0x7d6105...,0.26,0.34,78.80%,2
0xd6d487...,0.26,0.52,51.30%,10
0x4153bf...,0.25,0.25,100%,1
0xa46f90...,0.25,1.75,14.30%,3
0x2b3af0...,0.25,0.13,194.10%,1
0x36ddaf...,0.25,1.42,17.60%,3
0xb69549...,0.25,0.75,34%,6
0x6b5d50...,0.25,5.85,4.30%,18
0x351ff8...,0.25,0.07,334.80%,1
0xedf4a9...,0.25,0.25,101.20%,3
0x4c7f12...,0.25,0.49,50.90%,12
0x4ccef2...,0.24,0.77,30.70%,1
0x6e8fb7...,0.24,0.66,36.10%,2
0x21fbc6...,0.24,0.27,88.70%,1
0x3b1364...,0.24,1.78,13.30%,115
0x8fd8ee...,0.24,0.29,81.80%,1
0x04b863...,0.23,0.08,275.80%,6
0xd0251b...,0.23,0.27,86.90%,1
0x14e2f1...,0.23,0.28,81.80%,1
0x391d63...,0.23,0.28,81.80%,2
0xdc40cb...,0.23,0.27,83.80%,1
0xeaa829...,0.22,0.78,28.20%,1
0x0c49c5...,0.22,0.41,54.50%,3
0xfa09bd...,0.22,1.28,17.10%,4
0x979758...,0.22,0.28,79.90%,2
0xca7a92...,0.22,0.33,66.70%,1
0x47b184...,0.21,0.43,49%,4
0x28d59e...,0.21,0.39,53.80%,1
0x754eb9...,0.21,1.2,17.10%,4
0x1cc319...,0.2,0.3,66.70%,1
0x29e0a3...,0.2,0.31,63.90%,1
0x70ddd3...,0.2,3.56,5.50%,3
0x268ae3...,0.2,0.3,66.70%,1
0xb30df4...,0.2,0.4,50%,5
0x8332f4...,0.2,1.85,10.80%,2
0x16fcfe...,0.2,0.74,26.90%,1
0x307899...,0.19,0.13,145.30%,5
0x3b03d9...,0.19,0.31,60.50%,2
0xe603c1...,0.19,0.61,31.70%,2
0xe365fb...,0.19,0.72,25.60%,6
0x3ca832...,0.18,4.39,4.10%,16
0xd9547a...,0.18,0.53,33.30%,2
0xcd22a3...,0.18,0.33,53.80%,1
0xb6c91b...,0.18,0.22,78.60%,2
0x6ab615...,0.18,0.19,92.30%,1
0x475f2d...,0.17,2.85,6.10%,4
