"Time";"price";"volume";"price approximation";"volume approximation"
"2019";14.0455394904;6949833.065972222;13.631472086177912;8537877.773920164
"2019";14.3376802951;10549194.694444444;13.820765713540588;9095682.135828178
"2019";14.6256503974;11327563.229166666;14.02563546085789;9674838.477416381
"2019";13.9772219421;8948087.479166666;14.082254773999427;9730279.834471881
"2019";14.7858706132;3310777.3854166665;14.246564638847353;8714398.88687499
"2019";14.9876460271;7656767.576388889;14.417820795301031;8416271.432306662
"2019";14.7992984389;5609553.347222222;14.529126035910538;7784731.07069945
"2019";15.0604447313;5068694.545138889;14.660488444303695;7115716.087753578
"2019";14.6783408288;5417320.590277778;14.702896882521012;6596829.993509768
"2019";15.2086240851;8418174.527777778;14.818044566630554;6705318.653509286
"2019";15.5113895219;12654141.902777778;14.968842188240416;7641854.895139754
"2019";15.3507723157;12783037.291666666;15.073174971146326;8638201.728842322
